קטגוריה,מונח,English,הסבר
בישול,סו-ויד,Sous-Vide,בישול בשקית אטומה בוואקום באמבט מים בטמפ' מדויקת וקבועה לאורך זמן; מבטיח בישול אחיד מקצה לקצה.
בישול,צריבה,Sear,צריבה קצרה בטמפ' גבוהה מאוד ליצירת קרום וטעם (תגובת מייאר).
בישול,ריוורס סיר,Reverse Sear,"בישול איטי בטמפ' נמוכה עד קרוב ליעד, ואז צריבה חזקה בסוף."
בישול,טמפ' יעד (מרקם),Target Temp,"הטמפ' הפנימית הרצויה לטעם/מרקם — נתח רך ~54-57°, נתחי קולגן ~90-96°. לא בהכרח טמפ' הבטיחות."
בישול,טמפ' בטיחות,Safe Min Temp,"מינימום פנימי (USDA) להריגת פתוגנים: עוף 74°, טחון 71°, דג ונתח שלם 63°."
עישון — שיטות,שיטת 3-2-1,3-2-1 Method,"לצלעות חזיר: 3 שעות עישון גלוי, 2 שעות עטוף בנייר כסף עם נוזל, 1 שעה גלוי עם רוטב/גלייז."
עישון — שיטות,עטיפה,Wrap / Texas Crutch,עטיפת הבשר בנייר כסף או נייר קצבים בשלב מסוים כדי לעבור מהר את ה'סטall' ולשמר לחות.
עישון — שיטות,wrap (כן/לא),Wrap?,"עמודה בטבלה: האם לעטוף את הנתח בנייר בשלב מסוים. 'כן' לנתחים ארוכים/סיביים (בריסקט, כתף, צלעות) — לעבור את ה'סטall' ולשמר עסיסיות; 'לא' לנתחים רזים/קצרים. בשיטת סו-ויד+עישון אין צורך בעטיפה כי הבישול כבר הושלם באמבט."
עישון — שיטות,ה'סטall',The Stall,עצירת עליית הטמפ' הפנימית סביב 65-70° עקב אידוי משטח; העטיפה מקצרת אותה.
עישון — שיטות,עישון קר,Cold Smoke,"עישון בטמפ' ≤30° ללא בישול — לגבינות, דגים ונקניקים מיובשים. דורש מחולל עשן."
עישון — שיטות,עישון חם,Hot Smoke,עישון שמבשל ומעשן בו-זמנית (~90-150°).
עישון — טיפולים,גלייז,Glaze,מריחת ציפוי מתוק/דביק בסוף הבישול לברק וטעם.
עישון — טיפולים,מריחה / ריסוס,Spritz / Mop,"ריסוס או מריחת נוזל (מיץ תפוחים, חומץ) לשמירת לחות וצבע."
עישון — טיפולים,ייבוש עור,Drying / Pellicle,"ייבוש פני השטח/העור — לעור פריך בעוף, או למשטח דביק (pellicle) שסופג עשן בדגים."
עישון — טיפולים,צינון,Chill / Hold,קירור או החזקה לפני או אחרי שלב בישול.
עישון — טיפולים,קרום,Bark,הקרום הכהה והמתובל שנוצר על פני הבשר בעישון ממושך.
ריפוי וכבישה,Cure #1,Prague Powder #1,"ניטריט נתרן (6.25%)+מלח, 'מלח ורוד'; למוצרים מבושלים/מעושנים קצר. מונע בוטוליזם ושומר צבע."
ריפוי וכבישה,Cure #2,Prague Powder #2,ניטריט+ניטראט; למוצרים מיובשים ארוכים שאינם מבושלים — משחרר חנקה לאט לאורך ההבשלה.
ריפוי וכבישה,כבישה יבשה,Dry Cure,שפשוף תערובת מלח/ריפוי ישירות על הבשר וייבוש מבוקר במקרר.
ריפוי וכבישה,תרבית התססה,Starter Culture,"חיידקי חומצת חלב להחמצה, טעם ובטיחות בנקניקים מותססים."
ריפוי וכבישה,גרבלקס,Gravlax,"כבישת דג (סלמון) במלח+סוכר+שמיר, ללא עישון או בישול."
סוגי עץ,אלון,Oak,עשן מאוזן ובסיסי; מתאים לבקר ולרוב הנתחים.
סוגי עץ,היקורי,Hickory,"עשן חזק 'בייקוני'; מצוין לחזיר ובקר, במידה."
סוגי עץ,מזקיט,Mesquite,עשן חזק מאוד ועפיץ; לבישול קצר ולבקר.
סוגי עץ,פקאן,Pecan,"מתון-מתוק, ביניים בין היקורי לעצי פרי."
סוגי עץ,תפוח,Apple,"מתוק ועדין; לעוף, חזיר ודגים."
סוגי עץ,דובדבן,Cherry,מתוק; נותן צבע אדמדם יפה.
סוגי עץ,בכר,Beech,עדין; נפוץ לנקניקים מעושנים.
פחם וציוד,פחם גוש,Lump Charcoal,"פחם עץ טבעי לבעירה נקייה וחמה, לעומת בריקטים."
פחם וציוד,Fogo Super Premium,—,פחם גוש איכותי לבעירה ארוכה ויציבה — לבישולים ממושכים.
פחם וציוד,Weber Lump,—,פחם גוש לחימום מהיר ובישולים קצרים-בינוניים.
פחם וציוד,Kamado Joe,—,פחם גוש לחום גבוה וצריבה (מתאים לתנורי קמאדו).
פחם וציוד,מחולל עשן,Smoke Tube / Maze,מילוי בפלטים/נסורת שמעשן זמן רב כמעט ללא חום — לעישון קר.
פחם וציוד,מעשנת ארון,Cabinet Smoker,"מעשנת אנכית עם תאים/מדפים, נפוצה על פחם; שומרת חום יציב לאורך זמן. הזמנים והטמפ' בטבלה מתאימים לה."
מדדים,רמת קושי,Difficulty,סולם 1 (קל מאוד) עד 5 (מתקדם/דורש בקרה וניסיון).
מדדים,זמן מעשנת שנחסך,Smoker Time Saved,כמה זמן פעיל ליד המעשנת חוסכת שיטת הסו-ויד מול עישון בלבד.
