#,סוג בשר,נתח,English Name,משקל,טמפ' מעשנת,זמן עישון,טמפ' יעד (מרקם),טמפ' בטיחות,צריבה?,טיפול באמצע,wrap,זמן מנוחה,מרינדה/ראב,צ'אנקים,תערובות,פחם מומלץ,רמת קושי,טמפ' מעשנת,זמן עישון,טמפ' יעד
1,בקר,בריסקט,Beef Brisket,5.5,110°C,12h,95°C,63,לא,עטיפה ב-70°C,כן,60 דק',ראב מלח+פלפל גס (טקסני),אלון/היקורי,אלון+היקורי,Fogo Super Premium,5,110,12,95
2,בקר,אסאדו,Short Ribs,2.5,110°C,7h,95°C,63,לא,גלייז בסיום,כן,30 דק',ראב בקר + שום,מזקיט/אלון,אלון+פקאן,Fogo Super Premium,4,110,7,95
3,הודו,שווארמה,Hanging Shawarma,2,110°C,3.5h,75°C,74,כן,סיבוב שיפוד,לא,10 דק',תערובת שווארמה + שמן זית,פקאן/אלון,פקאן+תפוח,Weber Lump,3,110,3.5,75
4,טלה,שוק טלה,Lamb Shank,0.5,110°C,7h,93°C,63,כן,עטיפה ב-75°C,כן,15 דק',שום+רוזמרין+מלח,פקאן/דובדבן,פקאן+דובדבן,Weber Lump,3,110,7,93
5,עוף,פרגיות,Chicken Thighs,1,130°C,1.5h,78°C,74,לא,מריחה,לא,5 דק',ראב עוף + לימון,תפוח/אלון,תפוח+אלון,Fogo Premium,2,130,1.5,78
6,בקר,פיקאניה,Picanha,1.3,110°C,2.5h,54°C,63,כן,אין,לא,10 דק',מלח גס בלבד,פקאן/דובדבן,פקאן+דובדבן,Kamado Joe,2,110,2.5,54
7,חזיר,ספייריבס חזיר,Pork Ribs,1.5,115°C,5h,95°C,63,לא,שיטת 3-2-1,כן,15 דק',ראב מתוק + פפריקה,תפוח/היקורי,תפוח+דובדבן,Weber Lump,3,115,5,95
8,חזיר,בטן חזיר,Pork Belly,2,110°C,4h,90°C,63,כן,מריחה,כן,15 דק',ראב מתוק-מלוח,היקורי/תפוח,היקורי+תפוח,Fogo Premium,3,110,4,90
9,אווז,חזה אווז,Duck Breast,0.35,110°C,1.5h,65°C,74,כן,הפיכה,לא,8 דק',מלח+פלפל+תפוז,דובדבן,דובדבן נקי,Kamado Joe,3,110,1.5,65
10,בקר,לחי בקר,Beef Cheeks,1,110°C,8h,95°C,63,לא,עטיפה ב-75°C,כן,20 דק',ראב בקר,אלון/היקורי,אלון+היקורי,Fogo Super Premium,3,110,8,95
11,בקר,טומאהוק,Tomahawk,1.2,110°C,2h,54°C,63,כן,אין,לא,15 דק',מלח+פלפל גס,אלון/היקורי,אלון+היקורי,Kamado Joe,3,110,2,54
12,בקר,פסטרמה בקר,Beef Pastrami,2.5,110°C,5h,72°C,63,לא,אין,לא,30 דק',כבישה + ציפוי כוסברה+פלפל,היקורי/אלון,היקורי+אלון,Fogo Premium,4,110,5,72
13,חזיר,כתף חזיר,Pork Shoulder,4,105°C,12h,98°C,63,לא,עטיפה ב-70°C,כן,45 דק',ראב מתוק (פולד פורק),היקורי/תפוח,היקורי+תפוח,Fogo Super Premium,3,105,12,98
14,בקר,צוואר בקר,Beef Chuck,2.5,110°C,9h,95°C,63,לא,עטיפה ב-75°C,כן,30 דק',ראב בקר,היקורי/אלון,היקורי+תפוח,Fogo Super Premium,4,110,9,95
15,טלה,כתף טלה,Lamb Shoulder,2,115°C,7h,95°C,63,לא,עטיפה ב-75°C,כן,20 דק',זעתר+שום+מלח,פקאן/תפוח,פקאן+דובדבן,Fogo Premium,3,115,7,95
16,מעורב,נקניקיות,Sausages,1,100°C,2.5h,72°C,71,לא,הפיכה,לא,5 דק',ללא (מתובל מראש),תפוח/פקאן,תפוח+פקאן,Weber Lump,1,100,2.5,72
17,בקר,קבב,Kebab,1,120°C,40m,65°C,71,כן,אין,לא,5 דק',תיבול קבב (פטרוזיליה+בצל),אלון,אלון נקי,Fogo Premium,2,120,0.67,65
18,בקר,המבורגר,Hamburger,0.2,120°C,40m,65°C,71,כן,אין,לא,5 דק',מלח+פלפל,היקורי/אלון,היקורי+אלון,Fogo Premium,1,120,0.67,65
19,הודו,חזה הודו,Turkey Breast,2.5,110°C,4h,75°C,74,לא,עטיפה ב-65°C,כן,20 דק',מלח כבישה + ראב עדין,דובדבן/תפוח,דובדבן+תפוח,Weber Lump,3,110,4,75
20,בקר,טרי-טיפ,Tri-Tip,1.3,120°C,2h,54°C,63,כן,הפיכה,לא,15 דק',מלח+פלפל+שום,אלון/היקורי,אלון+היקורי,Kamado Joe,2,120,2,54
21,בקר,צלעות בקר (דינו),Beef Back Ribs,2.5,110°C,6.5h,95°C,63,לא,עטיפה ב-75°C,כן,30 דק',ראב בקר קלאסי,אלון/היקורי,אלון+היקורי,Fogo Super Premium,3,110,6.5,95
22,בקר,לשון בקר,Beef Tongue,1.2,110°C,6h,92°C,63,לא,עטיפה ב-75°C,כן,20 דק',מלח+פלפל+כמון,היקורי/אלון,היקורי+אלון,Fogo Premium,4,110,6,92
23,בקר,אנטריקוט רוסט,Prime Rib Roast,3.5,120°C,3h,54°C,63,כן,אין,לא,20 דק',מלח+פלפל+רוזמרין+שום,אלון/דובדבן,אלון+דובדבן,Fogo Super Premium,3,120,3,54
24,בקר,אונטרייב,Chuck Short Ribs,1.5,110°C,7h,95°C,63,לא,עטיפה ב-75°C,כן,30 דק',ראב בקר+שום,אלון/היקורי,אלון+היקורי,Fogo Super Premium,4,110,7,95
25,בקר,שריר בקר (אוסובוקו),Beef Shank,1.8,110°C,8h,96°C,63,לא,עטיפה ב-75°C,כן,30 דק',ראב בקר,היקורי/אלון,היקורי+אלון,Fogo Super Premium,4,110,8,96
26,בקר,סינטה רוסט,Striploin Roast,2.5,120°C,2.5h,54°C,63,כן,אין,לא,20 דק',מלח גס+פלפל,אלון/היקורי,אלון+היקורי,Fogo Premium,3,120,2.5,54
27,בקר,פילה בקר,Beef Tenderloin,1.5,120°C,1.5h,54°C,63,כן,הפיכה,לא,15 דק',מלח+פלפל+חמאה,אלון/דובדבן,אלון+דובדבן,Kamado Joe,2,120,1.5,54
28,בקר,ואסיו,Vacío,1.2,110°C,2.5h,56°C,63,כן,הפיכה,לא,15 דק',מלח גס+צ'ימיצ'ורי,אלון/היקורי,אלון+היקורי,Weber Lump,3,110,2.5,56
29,חזיר,פילה חזיר,Pork Loin,1.8,120°C,2.5h,63°C,63,לא,מריחה,לא,15 דק',ראב מתוק+פפריקה,תפוח/דובדבן,תפוח+דובדבן,Fogo Premium,2,120,2.5,63
30,חזיר,פילה חזיר מדומה,Pork Tenderloin,0.5,120°C,1.5h,63°C,63,כן,הפיכה,לא,10 דק',חרדל+ראב,תפוח,תפוח,Weber Lump,1,120,1.5,63
31,חזיר,צוואר חזיר,Pork Collar,1.8,110°C,6h,90°C,63,לא,עטיפה ב-70°C,כן,20 דק',ראב חזיר,תפוח/היקורי,תפוח+היקורי,Fogo Premium,3,110,6,90
32,חזיר,רגל חזיר,Fresh Ham,5,110°C,9h,71°C,63,לא,גלייז בסיום,לא,30 דק',ראב מתוק+ציפורן,תפוח/דובדבן,תפוח+דובדבן,Fogo Super Premium,4,110,9,71
33,חזיר,קוטלט חזיר,Pork Chops,0.4,120°C,1h,63°C,63,כן,הפיכה,לא,8 דק',מלח+פלפל+מרווה,תפוח,תפוח,Weber Lump,2,120,1,63
34,טלה,צלעות טלה,Lamb Ribs,1,110°C,4h,92°C,63,לא,עטיפה ב-75°C,כן,15 דק',ראב טלה+זעתר,פקאן/דובדבן,פקאן+דובדבן,Fogo Premium,3,110,4,92
35,טלה,ירך טלה,Leg of Lamb,2.5,120°C,3.5h,60°C,63,כן,אין,לא,20 דק',שום+רוזמרין+מלח,פקאן/דובדבן,פקאן+דובדבן,Fogo Super Premium,3,120,3.5,60
36,טלה,צלעות כבש (קארה),Rack of Lamb,0.7,120°C,1h,56°C,63,כן,הפיכה,לא,10 דק',חרדל+עשבי תיבול,דובדבן/תפוח,דובדבן+תפוח,Kamado Joe,3,120,1,56
37,טלה,חזה טלה,Lamb Breast,1.2,110°C,5h,93°C,63,לא,עטיפה ב-75°C,כן,20 דק',ראב טלה,פקאן/אלון,פקאן+אלון,Fogo Premium,3,110,5,93
38,עוף,עוף שלם (ספאצ'קוק),Spatchcock Chicken,1.7,150°C,1.75h,74°C,74,לא,אין,לא,10 דק',ראב עוף+פפריקה,תפוח/אלון,תפוח+אלון,Weber Lump,2,150,1.75,74
39,עוף,כנפיים,Chicken Wings,1,150°C,1.5h,74°C,74,כן,הפיכה,לא,5 דק',ראב עוף / באפלו,תפוח/דובדבן,תפוח+דובדבן,Weber Lump,1,150,1.5,74
40,עוף,שוקיים,Chicken Drumsticks,1,140°C,1.5h,80°C,74,לא,מריחה,לא,5 דק',ראב עוף,תפוח/אלון,תפוח+אלון,Weber Lump,1,140,1.5,80
41,עוף,חזה עוף,Chicken Breast,0.35,120°C,1h,70°C,74,לא,מריחה,לא,8 דק',ראב עדין+לימון,תפוח/דובדבן,תפוח+דובדבן,Fogo Premium,2,120,1,70
42,הודו,שוק הודו,Turkey Legs,1,120°C,3h,85°C,74,לא,עטיפה ב-70°C,כן,15 דק',ראב+מלח כבישה,דובדבן/תפוח,דובדבן+תפוח,Fogo Premium,2,120,3,85
43,הודו,הודו שלם,Whole Turkey,6,150°C,4.5h,74°C,74,לא,עטיפת חזה,לא,30 דק',חמאת עשבים+מלח כבישה,תפוח/דובדבן,תפוח+דובדבן,Fogo Super Premium,4,150,4.5,74
44,אווז,אווז שלם,Whole Goose,4.5,130°C,4.5h,75°C,74,לא,דקירת עור+ניקוז,לא,25 דק',מלח+תפוז+עשבים,דובדבן/תפוח,דובדבן+תפוח,Fogo Super Premium,5,130,4.5,75
45,אווז,שוק אווז (קונפי),Goose Leg,0.5,120°C,2.5h,85°C,74,כן,הפיכה,לא,10 דק',מלח+תימין+שום,דובדבן,דובדבן,Fogo Premium,3,120,2.5,85
46,ברווז,ברווז שלם,Whole Duck,2.2,140°C,2.75h,74°C,74,לא,דקירת עור,לא,15 דק',מלח+חמישה תבלינים,דובדבן/תפוח,דובדבן+תפוח,Fogo Premium,4,140,2.75,74
47,ברווז,שוק ברווז (קונפי),Duck Leg Confit,0.3,120°C,2h,85°C,74,כן,הפיכה,לא,8 דק',מלח+תימין+שום,דובדבן,דובדבן,Fogo Premium,3,120,2,85
48,ברווז,חזה ברווז,Duck Breast,0.35,120°C,45m,57°C,74,כן,הפיכת עור,לא,8 דק',מלח+פלפל+תפוז,דובדבן,דובדבן,Kamado Joe,2,120,0.75,57
49,דג,סלמון,Salmon Fillet,1,80°C,2h,60°C,63,לא,גלייז מייפל,לא,5 דק',מלח+סוכר חום (גרבלקס),תפוח/דובדבן,תפוח+דובדבן,Weber Lump,2,80,2,60
50,דג,פורל,Trout,0.4,80°C,1.5h,60°C,63,לא,אין,לא,5 דק',מלח+שמיר+לימון,תפוח/דובדבן,תפוח+דובדבן,Weber Lump,2,80,1.5,60
51,בקר,שפונדרה,Short Plate,2.5,110°C,7h,95°C,63,לא,עטיפה ב-75°C,כן,30 דק',ראב בקר,אלון/היקורי,אלון+היקורי,Fogo Super Premium,4,110,7,95
52,בקר,כתף בקר,Chuck Roast,2.5,110°C,7h,95°C,63,לא,עטיפה ב-75°C,כן,30 דק',ראב בקר,אלון/פקאן,אלון+פקאן,Fogo Super Premium,4,110,7,95
53,בקר,מכסה אנטריקוט,Rib Cap (Spinalis),0.8,120°C,2h,57°C,63,כן,אין,לא,10 דק',מלח+פלפל,אלון/פקאן,אלון+פקאן,Kamado Joe,2,120,2,57
54,בקר,שייטל,Top Round,2,120°C,3h,57°C,63,כן,אין,לא,15 דק',מלח+פלפל+שום,דובדבן/פקאן,דובדבן+פקאן,Fogo Premium,2,120,3,57
55,בקר,שפיץ צ'אך,Rump Roast,2,120°C,3h,57°C,63,כן,אין,לא,15 דק',מלח גס+פלפל,דובדבן/אלון,דובדבן+אלון,Fogo Premium,2,120,3,57
56,בקר,זנב שור,Oxtail,1.5,110°C,6h,95°C,63,לא,עטיפה ב-75°C,כן,20 דק',ראב בקר,אלון/היקורי,אלון+היקורי,Fogo Super Premium,4,110,6,95
57,בקר,עצמות מח עצם,Beef Marrow Bones,1,120°C,1.5h,68°C,63,לא,אין,לא,5 דק',מלח גס,אלון,אלון,Weber Lump,2,120,1.5,68
58,טלה,אסאדו טלה,Lamb Plate Ribs,1.2,110°C,5h,93°C,63,לא,עטיפה ב-75°C,כן,20 דק',ראב טלה+זעתר,אלון/דובדבן,אלון+דובדבן,Fogo Premium,4,110,5,93
59,טלה,צוואר טלה,Lamb Neck,1,110°C,5h,93°C,63,לא,עטיפה ב-75°C,כן,20 דק',ראב טלה,דובדבן/אלון,דובדבן+אלון,Fogo Premium,4,110,5,93
60,טלה,מותן טלה,Lamb Loin,1,120°C,2h,60°C,63,כן,הפיכה,לא,10 דק',שום+רוזמרין+מלח,דובדבן,דובדבן,Kamado Joe,2,120,2,60
61,חזיר,לחי חזיר,Pork Cheek (Jowl),0.5,110°C,4h,92°C,63,לא,עטיפה ב-75°C,כן,15 דק',ראב חזיר,תפוח/דובדבן,תפוח+דובדבן,Fogo Premium,4,110,4,92
62,חזיר,פרק חזיר,Pork Hock,0.8,110°C,5h,95°C,63,לא,עטיפה ב-75°C,כן,15 דק',ראב חזיר+מלח כבישה,תפוח/היקורי,תפוח+היקורי,Fogo Premium,4,110,5,95
63,חזיר,חזה חזיר עם עצם,Picnic Shoulder,3.5,110°C,8h,95°C,63,לא,עטיפה ב-70°C,כן,30 דק',ראב מתוק,תפוח/פקאן,תפוח+פקאן,Fogo Super Premium,4,110,8,95
64,חזיר,ריבס אמריקאי,Baby Back Ribs,0.8,110°C,5h,93°C,63,לא,שיטת 2-2-1,כן,10 דק',ראב מתוק+פפריקה,תפוח/דובדבן,תפוח+דובדבן,Weber Lump,3,110,5,93
65,חזיר,אוזן חזיר,Pork Ear,0.2,120°C,1.5h,75°C,63,כן,הפיכה,לא,5 דק',מלח+פפריקה,תפוח/היקורי,תפוח+היקורי,Weber Lump,2,120,1.5,75
66,חזיר,זנב חזיר,Pork Tail,0.3,120°C,2.5h,80°C,63,כן,הפיכה,לא,5 דק',ראב חזיר,תפוח,תפוח,Weber Lump,2,120,2.5,80
67,עוף,כרעיים,Chicken Leg Quarters,1,140°C,2h,80°C,74,לא,מריחה,לא,5 דק',ראב עוף,תפוח/דובדבן,תפוח+דובדבן,Weber Lump,1,140,2,80
68,הודו,כנפי הודו,Turkey Wings,0.8,130°C,3h,80°C,74,לא,אין,לא,10 דק',ראב+מלח כבישה,תפוח/פקאן,תפוח+פקאן,Fogo Premium,2,130,3,80
