#,קטגוריה,מוצר,English Name,כבישה/ריפוי,טמפ' עישון,זמן עישון,טמפ' פנימית יעד,ייבוש/בשלה,עץ/צ'אנקים,רמת קושי,הערות
1,בשר מיובש,ג'רקי בקר,Beef Jerky,מרינדת סויה+תיבול (אופ' Cure #1),70°C,4-6h,—,עד מרקם יבש-גמיש,היקורי/מזקיט,2,"לפרוס 5 מ""מ נגד הסיבים; מוכן כשמתכופף ונסדק ולא נשבר"
2,בשר מיובש,ג'רקי הודו,Turkey Jerky,מרינדה דלת שומן,70°C,4-5h,74°C (בטיחות),עד מרקם יבש,תפוח/דובדבן,2,עוף/הודו — להקפיד על 74°C לבטיחות לפני ייבוש
3,בשר מיובש,בילטונג,Biltong,חומץ+מלח+כוסברה+פלפל,ללא (ייבוש אוויר),—,—,4-7 ימים בייבוש מאוורר,ללא,3,"ייבוש אוויר קר, ללא עישון — לא דורש מעשנת; זרימת אוויר חיונית"
4,בייקון,בייקון חזיר,Pork Bacon,"כבישה יבשה Cure #1 + סוכר, ~7 ימים",90°C,3-4h,65°C,—,היקורי/תפוח,3,"לאחר עישון לקרר היטב, לפרוס ולטגן לפני אכילה"
5,בייקון,בייקון בקר,Beef Bacon,"כבישה Cure #1, ~7 ימים",90°C,3h,65°C,—,היקורי/אלון,3,מבטן/נאבל בקר; פרוס דק
6,נקניק מעושן,קילבסה,Kielbasa,Cure #1 בבשר טחון,60-75°C עולה,3-4h,68°C,—,אלון/בכר/תפוח,3,נקניק פולני מבושל-מעושן; אפשר להגיש מיד
7,נקניק מעושן,אנדוי,Andouille,Cure #1 + תיבול קייג'ן,70°C,4h,68°C,—,פקאן/היקורי,3,חריף ומעושן בכבדות; קלאסי לגמבו
8,נקניק מעושן,סרוולט,Cervelat,Cure #1,50-60°C,2-3h,68°C,אופציונלי ייבוש קצר,בכר/אלון,3,נקניק חצי-יבש שוויצרי/גרמני
9,נקניק מעושן,סאמר סוסג',Summer Sausage,Cure #1 + תרבית התססה,50-75°C עולה,4-6h,68°C,—,היקורי/אלון,4,טעם חמצמץ (טאנג) מההתססה; חצי-יבש
10,נקניק מיובש,קבנוס,Kabanos,Cure #2 + תרבית התססה,50°C (קר-פושר),2-3h,—,5-10 ימים (ירידה 30-35%),בכר/אלון/שזיף,4,נקניק חזיר דק ויבש; פרוסות דקות לנשנוש
11,נקניק מיובש,סלמי,Salami,Cure #2 + תרבית + מלח,עישון קר אופ' 12-24h,—,—,3-6 שבועות (ירידה 30-40%),בכר,5,בקרת טמפ'/לחות קריטית לבטיחות; דורש ניסיון
12,נקניק מיובש,צ'וריסו מיובש,Dry Chorizo,Cure #2 + פפריקה מעושנת + שום,עישון קר אופציונלי,—,—,3-5 שבועות,אלון,5,ספרדי; הפפריקה נותנת צבע וטעם אופייניים
13,נקניק מיובש,לנדיגר,Landjäger,Cure #2 + תרבית,"קר 50°C, 6-12h",—,—,1-2 שבועות בלחיצה (שטוח),בכר,4,נקניק חצי-יבש דרום-גרמני; מיובש בלחיצה
14,נקניק מיובש,פפרוני,Pepperoni,Cure #2 + פפריקה+צ'ילי + תרבית,עישון קר אופציונלי,—,—,3-4 שבועות,אלון/ללא,5,מיובש-מותסס; קלאסי לפיצה
15,גבינה,גאודה מעושנת,Smoked Gouda,—,עישון קר ≤30°C,2-4h,—,איטום וקירור 1-2 שבועות,תפוח/אלון/דובדבן,2,עישון קר חובה (<30°C) למניעת המסה; מחולל עשן (tube/maze)
16,גבינה,צ'דר מעושן,Smoked Cheddar,—,עישון קר ≤30°C,2-4h,—,מנוחה 1-2 שבועות,היקורי/תפוח,2,להתמתנות הטעם — לא לאכול מיד אחרי העישון
17,גבינה,סקמורצה/מוצרלה מעושנת,Smoked Scamorza,—,עישון קר ≤28°C,1-2h,—,מיידי-קצר,אלון/תפוח,2,רכה — עישון קצר ובטמפ' נמוכה מאוד
18,גבינה,פרובולון מעושן,Smoked Provolone,—,עישון קר ≤30°C,2-3h,—,מנוחה ~שבוע,אלון/דובדבן,2,קשה-בינונית; סופגת עשן יפה
19,גבינה,גבינת שמנת מעושנת,Smoked Cream Cheese,ציפוי ראב,"110°C (חם, קצר)",1.5-2h,—,—,תפוח/דובדבן,1,טרנד BBQ — מעשנים חם עם ראב; מגישים כמטבל
